date,time,mankw
2021/5/1,0:00,2164
2021/5/1,1:00,2065
2021/5/1,2:00,2064
2021/5/1,3:00,2102
2021/5/1,4:00,2114
2021/5/1,5:00,2064
2021/5/1,6:00,2030
2021/5/1,7:00,2127
2021/5/1,8:00,2334
2021/5/1,9:00,2492
2021/5/1,10:00,2619
2021/5/1,11:00,2667
2021/5/1,12:00,2570
2021/5/1,13:00,2465
2021/5/1,14:00,2538
2021/5/1,15:00,2562
2021/5/1,16:00,2508
2021/5/1,17:00,2596
2021/5/1,18:00,2737
2021/5/1,19:00,2717
2021/5/1,20:00,2592
2021/5/1,21:00,2462
2021/5/1,22:00,2330
2021/5/1,23:00,2235
