date,time,mankw
2022/5/1,0:00,2162
2022/5/1,1:00,2065
2022/5/1,2:00,2061
2022/5/1,3:00,2081
2022/5/1,4:00,2086
2022/5/1,5:00,2072
2022/5/1,6:00,2086
2022/5/1,7:00,2186
2022/5/1,8:00,2319
2022/5/1,9:00,2430
2022/5/1,10:00,2472
2022/5/1,11:00,2609
2022/5/1,12:00,2543
2022/5/1,13:00,2554
2022/5/1,14:00,2575
2022/5/1,15:00,2594
2022/5/1,16:00,2673
2022/5/1,17:00,2801
2022/5/1,18:00,2911
2022/5/1,19:00,2881
2022/5/1,20:00,2780
2022/5/1,21:00,2625
2022/5/1,22:00,2451
2022/5/1,23:00,2303
