tab_code,表章項目,cat01_code,2015年基準品目,area_code,地域（2015年基準）,time_code,時間軸（年・月）,unit,value,annotation
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016001010,2016年10月,,96.1,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000909,2016年9月,,95.8,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000808,2016年8月,,95,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000707,2016年7月,,94.6,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000606,2016年6月,,94.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000505,2016年5月,,96.2,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000404,2016年4月,,95.5,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000303,2016年3月,,96.3,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000202,2016年2月,,96.9,
1,指数,0056,0056 電気代,01A01,01100 札幌市,2016000101,2016年1月,,98,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001212,2021年12月,,115.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001111,2021年11月,,113.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021001010,2021年10月,,111.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000909,2021年9月,,109.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000808,2021年8月,,108.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000707,2021年7月,,106.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000606,2021年6月,,104.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000505,2021年5月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000404,2021年4月,,99.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000303,2021年3月,,98.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000202,2021年2月,,98.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2021000101,2021年1月,,99,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001212,2020年12月,,98.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001111,2020年11月,,97.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020001010,2020年10月,,96.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000909,2020年9月,,98.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000808,2020年8月,,101.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000707,2020年7月,,104.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000606,2020年6月,,106.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000505,2020年5月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000404,2020年4月,,106.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000303,2020年3月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000202,2020年2月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2020000101,2020年1月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001212,2019年12月,,107.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001111,2019年11月,,108.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019001010,2019年10月,,107.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000909,2019年9月,,108.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000808,2019年8月,,108.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000707,2019年7月,,108.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000606,2019年6月,,107.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000505,2019年5月,,108.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000404,2019年4月,,110.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000303,2019年3月,,111.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000202,2019年2月,,112,
